,No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,Unnamed: 6,Unnamed: 7,Teks_Bersih,Tokens
35,36,@rani__ara,"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",Non-bullying,26 Desember 2020,@rosameldianti_,,,suka heran hina fisik dosa,"['suka', 'heran', 'hina', 'fisik', 'dosa']"
36,37,@octaviandiajeng,"""Ini diedit biar langsing padahal mah klo live bomber badannya""",Bullying,26 Desember 2020,@rosameldianti_,,,edit biar langsing kalo live bomber badan,"['edit', 'biar', 'langsing', 'kalo', 'live', 'bomber', 'badan']"
37,38,@rubybee_16,"""Kakinya gedong sayyy kek kaki jantan Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",Bullying,26 Desember 2020,@rosameldianti_,,,kaki gedong sayang kayak kaki jantan up suka baur warwerwor mahluk astral kaki gedong,"['kaki', 'gedong', 'sayang', 'kayak', 'kaki', 'jantan', 'up', 'suka', 'baur', 'warwerwor', 'mahluk', 'astral', 'kaki', 'gedong']"
38,39,@__yohanatan__,"""Bagusan foto pakai masker drpd gak pakai masker""",Non-bullying,26 Desember 2020,@rosameldianti_,,,bagus foto pakai masker enggak pakai masker,"['bagus', 'foto', 'pakai', 'masker', 'enggak', 'pakai', 'masker']"
39,40,@hartaman_soe,"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",Bullying,26 Desember 2020,@rosameldianti_,,,kakak foto memek tebal memek kakak bengkak,"['kakak', 'foto', 'memek', 'tebal', 'memek', 'kakak', 'bengkak']"
40,41,@maskersssssj,"""Bra nya kedodoran kak make ukuran gede yaa""",Bullying,20 Desember 2020,@rosameldianti_,,,bra kedodoran kak pakai ukur gede,"['bra', 'kedodoran', 'kak', 'pakai', 'ukur', 'gede']"
41,42,@yiunita,"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",Non-bullying,20 Desember 2020,@rosameldianti_,,,cantik senang usaha buah hasil semangat mel moga pribadi,"['cantik', 'senang', 'usaha', 'buah', 'hasil', 'semangat', 'mel', 'moga', 'pribadi']"
42,43,@anggrainikoenang,"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",Bullying,20 Desember 2020,@rosameldianti_,,,mbak enggak enggak merem melek mata kayak orang cacing,"['mbak', 'enggak', 'enggak', 'merem', 'melek', 'mata', 'kayak', 'orang', 'cacing']"
43,44,@nadhiya_za,"""Semoga lancar terus usahanya mel""",Non-bullying,20 Desember 2020,@rosameldianti_,,,moga lancar usaha mel,"['moga', 'lancar', 'usaha', 'mel']"
44,45,@riaros,"""Cantik banget kalo meldi muka natural kek gini""",Non-bullying,20 Desember 2020,@rosameldianti_,,,cantik kalo meldi muka natural kayak,"['cantik', 'kalo', 'meldi', 'muka', 'natural', 'kayak']"
45,46,@lialiya25,"""Lu diem aja cantik mel kalo ga banyak gaya serius""",Non-bullying,20 Desember 2020,@rosameldianti_,,,lu diam cantik mel kalo enggak gaya,"['lu', 'diam', 'cantik', 'mel', 'kalo', 'enggak', 'gaya']"
46,47,@dianaherdani18,"""Kaku kek kanebo kering hahaha""",Bullying,20 Desember 2020,@rosameldianti_,,,kaku kayak kanebo kering hahaha,"['kaku', 'kayak', 'kanebo', 'kering', 'hahaha']"
47,48,@priskaaben,"""Semakin glowing say natural kayak gini bagus tambahin prestasi nya ya say""",Non-bullying,20 Desember 2020,@rosameldianti_,,,glowing sayang natural kayak bagus tambah prestasi sayang,"['glowing', 'sayang', 'natural', 'kayak', 'bagus', 'tambah', 'prestasi', 'sayang']"
48,49,@apelu.liat2,"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya auranya gak keliatan yg ada malah butek""",Bullying,22 Desember 2020,@rosameldianti_,,,meldi emaknya buka klinik totok aura kayak anak enggak totok aura enggak butek,"['meldi', 'emaknya', 'buka', 'klinik', 'totok', 'aura', 'kayak', 'anak', 'enggak', 'totok', 'aura', 'enggak', 'butek']"
49,50,@arjhunot,"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",Bullying,22 Desember 2020,@rosameldianti_,,,muka lo pasar mel pasar sapi noh,"['muka', 'lo', 'pasar', 'mel', 'pasar', 'sapi', 'noh']"
50,51,@meta_fira,"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",Bullying,22 Desember 2020,@rosameldianti_,,,maaf sama lu dugong,"['maaf', 'sama', 'lu', 'dugong']"
51,52,@aii_rinz95,"""Iya lo kamu mirip monyet mel""",Bullying,22 Desember 2020,@rosameldianti_,,,lo monyet mel,"['lo', 'monyet', 'mel']"
52,53,@dwiengine,"""Bagusan pantat panci aing atuh anjir""",Bullying,22 Desember 2020,@rosameldianti_,,,bagus pantat panci aing atuh anjir,"['bagus', 'pantat', 'panci', 'aing', 'atuh', 'anjir']"
53,54,@evilsilviani27,"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",Bullying,22 Desember 2020,@rosameldianti_,,,enggak muka muka badak muka beton enggak malu,"['enggak', 'muka', 'muka', 'badak', 'muka', 'beton', 'enggak', 'malu']"
54,55,@naviafadia,"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",Non-bullying,22 Desember 2020,@rosameldianti_,,,mbak meldi cantik rahasia,"['mbak', 'meldi', 'cantik', 'rahasia']"
55,56,@lee406132,"""Lengannya gempal banget sih HAHA""",Bullying,22 Desember 2020,@rosameldianti_,,,lengan gempal haha,"['lengan', 'gempal', 'haha']"
56,57,@ummuhumairoh__,"""Fix yang komen semua nyela""",Non-bullying,22 Desember 2020,@rosameldianti_,,,fix komen cela,"['fix', 'komen', 'cela']"
57,58,@mareeet30,"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",Non-bullying,22 Desember 2020,@rosameldianti_,,,kak enggak gubris enggak pikir syukur nikmat tuhan kasih kakak enggak katai orang kak syukur nikmat,"['kak', 'enggak', 'gubris', 'enggak', 'pikir', 'syukur', 'nikmat', 'tuhan', 'kasih', 'kakak', 'enggak', 'katai', 'orang', 'kak', 'syukur', 'nikmat']"
58,59,@rifkohalim,"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",Bullying,22 Desember 2020,@rosameldianti_,,,jari jari gede gede ngiklan makan ikan danau hambar jari kayak jempol hawak,"['jari', 'jari', 'gede', 'gede', 'ngiklan', 'makan', 'ikan', 'danau', 'hambar', 'jari', 'kayak', 'jempol', 'hawak']"
59,60,@ooohh_vhie,"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",Bullying,22 Desember 2020,@rosameldianti_,,,disamain muka orang oi minta disamain babi,"['disamain', 'muka', 'orang', 'oi', 'minta', 'disamain', 'babi']"
60,61,@effa.kejora,"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",Non-bullying,22 Desember 2020,@rosameldianti_,,,enggak bawah meldi tara kurang lebih,"['enggak', 'bawah', 'meldi', 'tara', 'kurang', 'lebih']"
61,62,@_goshop24,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",Non-bullying,22 Desember 2020,@rosameldianti_,,,kak mel enggak rendah orang syukur atas langit langit,"['kak', 'mel', 'enggak', 'rendah', 'orang', 'syukur', 'atas', 'langit', 'langit']"
62,63,@jannahfamily1111,"""Mukanya kalau gak dibantu kamera dekil dan kumel""",Bullying,22 Desember 2020,@rosameldianti_,,,muka enggak bantu kamera dekil mel,"['muka', 'enggak', 'bantu', 'kamera', 'dekil', 'mel']"
63,64,@fannyyyyk,"""Semua wanita cantik, jangan suka merasa lebih ah""",Non-bullying,22 Desember 2020,@rosameldianti_,,,wanita cantik suka ah,"['wanita', 'cantik', 'suka', 'ah']"
64,65,@taniaaw123,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",Bullying,22 Desember 2020,@rosameldianti_,,,meldi kontrak endorse skincare muka jelek,"['meldi', 'kontrak', 'endorse', 'skincare', 'muka', 'jelek']"
65,66,@juniartibs,"""Gila Netizen pada sempurna ngehina orang terus""",Non-bullying,22 Desember 2020,@rosameldianti_,,,gila netizen sempurna hina orang,"['gila', 'netizen', 'sempurna', 'hina', 'orang']"
66,67,@zulfaqinan,"""Semua dah pada ngembang habis di berapa cowo meldi?... enak ya di otak atik""",Bullying,22 Desember 2020,@rosameldianti_,,,deh ngembang habis cowok meldi enak otak atik,"['deh', 'ngembang', 'habis', 'cowok', 'meldi', 'enak', 'otak', 'atik']"
67,68,@dona_pitria,"""Karena muka kayak elo pasaran dan murah""",Bullying,22 Desember 2020,@rosameldianti_,,,muka kayak lo pasar murah,"['muka', 'kayak', 'lo', 'pasar', 'murah']"
68,69,@nia_5446,"""Muka buluk kepedean lagi.. muka udah tua""",Bullying,22 Desember 2020,@rosameldianti_,,,muka buluk kepedean muka tua,"['muka', 'buluk', 'kepedean', 'muka', 'tua']"
69,70,@tita.titt,"""Muka lu kaya tai wkwkwk""",Bullying,22 Desember 2020,@rosameldianti_,,,muka lu kayak tahi wkwkwk,"['muka', 'lu', 'kayak', 'tahi', 'wkwkwk']"
70,71,@harishshandi,"""Sakit jiwa ini upil gajah Kasihan""",Bullying,22 Desember 2020,@rosameldianti_,,,sakit jiwa upil gajah kasihan,"['sakit', 'jiwa', 'upil', 'gajah', 'kasihan']"
71,72,@sila.putri.526,"""Jelek macam buntut kuali hahaha""",Bullying,22 Desember 2020,@rosameldianti_,,,jelek buntut kuali hahaha,"['jelek', 'buntut', 'kuali', 'hahaha']"
72,73,@lasi1977,"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up""",Non-bullying,22 Desember 2020,@rosameldianti_,,,meldi kurus cantik pakai up,"['meldi', 'kurus', 'cantik', 'pakai', 'up']"
73,74,@anisa_lubis12,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",Non-bullying,31 Desember 2020,@rosameldianti_,,,lu moga semakinlebih hal akhlak etika,"['lu', 'moga', 'semakinlebih', 'hal', 'akhlak', 'etika']"
74,75,@maryamcici29,"""Mbak mell sehat dan sukses ya""",Non-bullying,31 Desember 2020,@rosameldianti_,,,mbak mel sehat sukses,"['mbak', 'mel', 'sehat', 'sukses']"
75,76,@misscahyani,"""Aamiin. Doa baik juga untuk Meldi""",Non-bullying,31 Desember 2020,@rosameldianti_,,,amin doa meldi,"['amin', 'doa', 'meldi']"
76,77,@vito_adn07,"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",Non-bullying,31 Desember 2020,@rosameldianti_,,,selamat mbak moga pribadi amin,"['selamat', 'mbak', 'moga', 'pribadi', 'amin']"
77,78,@prelovedbabyzee_,"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",Non-bullying,31 Desember 2020,@rosameldianti_,,,meldi cantik loh tinggal dibenerin akhlak adab sip,"['meldi', 'cantik', 'loh', 'tinggal', 'dibenerin', 'akhlak', 'adab', 'sip']"
78,79,@tkp995,"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",Bullying,18 Desember 2020,@rosameldianti_,,,ambil foto bagus mantap keren tinggal ambil arwah,"['ambil', 'foto', 'bagus', 'mantap', 'keren', 'tinggal', 'ambil', 'arwah']"
79,80,@andipulau123,"""Nggak ada cantik-cantik nya hahaha""",Bullying,18 Desember 2020,@rosameldianti_,,,enggak cantik cantik hahaha,"['enggak', 'cantik', 'cantik', 'hahaha']"
80,81,@pmonaapr,"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",Bullying,18 Desember 2020,@rosameldianti_,,,kasihan editor nanggung dosa kayak edit offside,"['kasihan', 'editor', 'nanggung', 'dosa', 'kayak', 'edit', 'offside']"
81,82,@dongo20200,"""Lama lama mirip dewi persik ya""",Non-bullying,18 Desember 2020,@rosameldianti_,,,dewi persik,"['dewi', 'persik']"
82,83,@arini.3367,"""pada julid padahal kan meldi gak nyusahin kalian""",Non-bullying,18 Desember 2020,@rosameldianti_,,,julid meldi enggak susah,"['julid', 'meldi', 'enggak', 'susah']"
83,84,@yunhistia,"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",Bullying,18 Desember 2020,@rosameldianti_,,,foto pasuk museum enggak,"['foto', 'pasuk', 'museum', 'enggak']"
84,85,@adityazuko,"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",Bullying,18 Desember 2020,@rosameldianti_,,,enggak ngumpul bareng mami isa gembrot,"['enggak', 'ngumpul', 'bareng', 'mami', 'isa', 'gembrot']"
85,86,@drian_riza,"""Lagu lu ga ada yang laku ya mel??""",Bullying,18 Desember 2020,@rosameldianti_,,,lagu lu enggak laku mel,"['lagu', 'lu', 'enggak', 'laku', 'mel']"
86,87,@dsusilawa,"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",Bullying,18 Desember 2020,@rosameldianti_,,,lutut hitam gosok maning biar cling cantik,"['lutut', 'hitam', 'gosok', 'maning', 'biar', 'cling', 'cantik']"
87,88,@agustindian276,"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",Non-bullying,18 Desember 2020,@rosameldianti_,,,suka heran warga suka hujat orang mulu pahala kagak dosa,"['suka', 'heran', 'warga', 'suka', 'hujat', 'orang', 'mulu', 'pahala', 'kagak', 'dosa']"
88,89,@rosameldiantifansclub,"""Tambah cantik aja rosa meldianti""",Non-bullying,18 Desember 2020,@rosameldianti_,,,cantik rosa meldianti,"['cantik', 'rosa', 'meldianti']"
89,90,@teukualmunawir,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",Bullying,18 Desember 2020,@rosameldianti_,,,ular dugong,"['ular', 'dugong']"
90,91,@choyrohnissaakbar,"""Saya kok suka ya sama mereka harmonis""",Non-bullying,13 Desember 2020,@rosameldianti_,,,suka harmonis,"['suka', 'harmonis']"
91,92,@riska_wn27,"""Cantik banget kalau pakai baju kayak gitu""",Non-bullying,13 Desember 2020,@rosameldianti_,,,cantik pakai baju kayak,"['cantik', 'pakai', 'baju', 'kayak']"
92,93,@fan_fani001,"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",Non-bullying,13 Desember 2020,@rosameldianti_,,,jujur kalo anteng enggak cantik mel,"['jujur', 'kalo', 'anteng', 'enggak', 'cantik', 'mel']"
93,94,@satriakiranadwi,"""Cowoknya ga ada cakep cakepnya""",Bullying,13 Desember 2020,@rosameldianti_,,,cowok enggak cakep cakep,"['cowok', 'enggak', 'cakep', 'cakep']"
94,95,@rubybee_16,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",Bullying,13 Desember 2020,@rosameldianti_,,,foto tirus kalo video warior muka kayak donat enggak bentuk,"['foto', 'tirus', 'kalo', 'video', 'warior', 'muka', 'kayak', 'donat', 'enggak', 'bentuk']"
95,96,@mokarin_a,"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",Non-bullying,11 Desember 2020,@rosameldianti_,,,foto diposting cantik,"['foto', 'diposting', 'cantik']"
96,97,@rubybee_16,"""Artis abal-abal.. Muka putih tangan hitam ager2 ATM nya udah isi berapa sekarang""",Bullying,11 Desember 2020,@rosameldianti_,,,artis abal abal muka putih tangan hitam ager atm isi,"['artis', 'abal', 'abal', 'muka', 'putih', 'tangan', 'hitam', 'ager', 'atm', 'isi']"
97,98,@pendekar_payunghitam,"""Itu muka kayak penuh tekanan banget""",Bullying,11 Desember 2020,@rosameldianti_,,,muka kayak penuh tekan,"['muka', 'kayak', 'penuh', 'tekan']"
98,99,@macankonner_streetfighter,"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",Bullying,11 Desember 2020,@rosameldianti_,,,cowok wajah culun cupu kayak om,"['cowok', 'wajah', 'culun', 'cupu', 'kayak', 'om']"
99,100,@yulimaya89,"""Masyaallah cantik terlihat sopan dan anggun""",Non-bullying,11 Desember 2020,@rosameldianti_,,,masyaallah cantik sopan anggun,"['masyaallah', 'cantik', 'sopan', 'anggun']"
100,101,@mywibowo,"""Kang ojek kali belang tangannya""",Bullying,11 Desember 2020,@rosameldianti_,,,kang ojek belang tangan,"['kang', 'ojek', 'belang', 'tangan']"
101,102,@juniartibs,"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",Non-bullying,11 Desember 2020,@rosameldianti_,,,senang lihat pasang cewenya hujat indonesia setia nemenin,"['senang', 'lihat', 'pasang', 'cewenya', 'hujat', 'indonesia', 'setia', 'nemenin']"
102,103,@santosodimas23,"""Dia memutuskan menjadi tumbal apartment""",Bullying,11 Desember 2020,@rosameldianti_,,,putus tumbal apartment,"['putus', 'tumbal', 'apartment']"
103,104,@thirsthing,"""makin cantik mel, semangat dietnyaa""",Non-bullying,11 Desember 2020,@rosameldianti_,,,cantik mel semangat diet,"['cantik', 'mel', 'semangat', 'diet']"
104,105,@fitrysyakieb,"""Itu tangan apa paha haha.""",Bullying,11 Desember 2020,@rosameldianti_,,,tangan paha haha,"['tangan', 'paha', 'haha']"
105,106,@mamggala,"""Mel disini kamu keliatan cakep""",Non-bullying,11 Desember 2020,@rosameldianti_,,,mel cakep,"['mel', 'cakep']"
106,107,@ajengrahayu80,"""Mukanya kayak lagi ngeden pas boker""",Bullying,11 Desember 2020,@rosameldianti_,,,muka kayak ngeden berak,"['muka', 'kayak', 'ngeden', 'berak']"
107,108,@biankarachel,"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak hahhaaa.. mimpi ketinggian..""",Bullying,7 Desember 2020,@rosameldianti_,,,aduh halu hhahaha lebay edit lemak mana lemak hahha mimpi tinggi,"['aduh', 'halu', 'hhahaha', 'lebay', 'edit', 'lemak', 'mana', 'lemak', 'hahha', 'mimpi', 'tinggi']"
108,109,@moca_caca_,"""salfok sama kaki, tapi cantik banget asli""",Non-bullying,7 Desember 2020,@rosameldianti_,,,salah fokus kaki cantik asli,"['salah', 'fokus', 'kaki', 'cantik', 'asli']"
